xmin,xmax,xmin_score,xmax_score,iou_score
0.875,0.915,1.0,1.0,0.78589517
0.715,0.755,1.0,5.146018011714659e-08,0.04465023
0.7050000000000001,0.755,1.0,5.146018011714659e-08,0.04465023
0.755,0.795,5.146018011714659e-08,0.7851085066795349,0.04465023
0.795,0.845,0.7851085066795349,4.147619747651987e-12,0.04465023
0.665,0.715,6.920733517518096e-13,1.0,0.044650484
0.665,0.7050000000000001,6.920733517518096e-13,1.0,0.04465051
0.915,0.955,1.0,1.4100230857037874e-13,0.042736474
0.8250000000000001,0.875,3.111306077654133e-18,1.0,0.047669284
0.105,0.14500000000000002,1.5835970312849668e-09,1.0395946326013927e-09,0.04465023
0.735,0.775,3.883868053555784e-13,1.6685913095670912e-08,0.04465023
0.485,0.525,1.2819039341138705e-07,1.74103133033501e-15,0.04465023
0.685,0.735,2.0753047717814166e-12,3.883868053555784e-13,0.04465023
0.525,0.5650000000000001,1.74103133033501e-15,8.871480570593496e-16,0.04465021
0.605,0.645,3.2549228308198504e-06,2.0645745595957614e-26,0.044650096
0.645,0.685,2.0645745595957614e-26,2.0753047717814166e-12,0.04465034
0.505,0.545,4.079391434097821e-24,1.0773586756672817e-15,0.04465023
0.455,0.505,3.315621136520803e-18,4.079391434097821e-24,0.04465023
0.405,0.455,3.4398436928045676e-26,3.315621136520803e-18,0.04465023
0.005,0.045,0.0,6.675859998236022e-16,0.23844472
