xmin,xmax,xmin_score,xmax_score,iou_score
0.365,0.455,1.0,1.0,0.80827856
0.275,0.365,1.0,1.0,0.27829123
0.275,0.35500000000000004,1.0,1.0,0.3245269
0.265,0.35500000000000004,1.0,1.0,0.3028758
0.215,0.275,1.0,1.0,0.6254049
0.215,0.265,1.0,1.0,0.79896116
0.125,0.215,1.0,1.0,0.04927007
0.125,0.205,1.0,0.9999958276748656,0.045522504
0.205,0.265,0.9999958276748656,1.0,0.7636671
0.205,0.275,0.9999958276748656,1.0,0.62912625
0.115,0.205,1.0,0.9999958276748656,0.04590736
0.315,0.365,0.9846619367599488,1.0,0.045921545
0.265,0.315,1.0,0.9846619367599488,0.6732035
0.315,0.35500000000000004,0.9846619367599488,1.0,0.042770214
0.185,0.265,0.0011360191274434328,1.0,0.62281924
0.125,0.185,1.0,0.0011360191274434328,0.044866912
0.115,0.185,1.0,0.0011360191274434328,0.044818737
0.185,0.275,0.0011360191274434328,1.0,0.53357875
0.365,0.415,1.0,0.0001374757121084258,0.665273
0.35500000000000004,0.415,1.0,0.0001374757121084258,0.6141762
0.415,0.465,0.0001374757121084258,1.0,0.42417488
0.415,0.475,0.0001374757121084258,1.0,0.33812043
0.455,0.525,1.0,3.517694494803436e-06,0.04192179
0.465,0.525,1.0,3.517694494803436e-06,0.043985512
0.475,0.525,1.0,3.517694494803436e-06,0.04465023
0.525,0.615,3.517694494803436e-06,1.0,0.044650394
0.155,0.215,4.74302140673899e-07,1.0,0.048181143
0.155,0.205,4.74302140673899e-07,0.9999958276748656,0.0443999
0.415,0.495,0.0001374757121084258,0.0002472877677064389,0.26214305
0.625,0.665,1.0,1.0615739398645019e-09,0.04465023
0.615,0.665,1.0,1.0615739398645019e-09,0.04465021
0.245,0.315,6.560782472853077e-10,0.9846619367599488,0.4055084
0.07500000000000001,0.125,2.4497856521144e-10,1.0,0.04465023
0.895,0.965,5.298241376294754e-05,4.240626367391086e-06,0.044671223
0.295,0.35500000000000004,2.462292002236577e-11,1.0,0.118749835
0.295,0.365,2.462292002236577e-11,1.0,0.10213728
0.215,0.295,1.0,2.462292002236577e-11,0.50344324
0.205,0.295,0.9999958276748656,2.462292002236577e-11,0.5281909
0.895,0.985,5.298241376294754e-05,2.5630651379060503e-08,0.044654865
0.185,0.245,0.0011360191274434328,6.560782472853077e-10,0.3687203
0.5650000000000001,0.625,3.458576740972275e-13,1.0,0.044650484
0.5650000000000001,0.615,3.458576740972275e-13,1.0,0.044650566
0.475,0.5650000000000001,1.0,3.458576740972275e-13,0.044275336
0.625,0.715,1.0,1.2646334717272834e-13,0.044650238
0.365,0.435,1.0,1.239865821773753e-13,0.69412756
0.435,0.475,1.239865821773753e-13,1.0,0.22959948
0.35500000000000004,0.435,1.0,1.239865821773753e-13,0.69430447
0.155,0.245,4.74302140673899e-07,6.560782472853077e-10,0.24679351
0.07500000000000001,0.155,2.4497856521144e-10,4.74302140673899e-07,0.044682175
0.495,0.5650000000000001,0.0002472877677064389,3.458576740972275e-13,0.04465023
0.435,0.495,1.239865821773753e-13,0.0002472877677064389,0.117111646
0.615,0.6950000000000001,1.0,2.655715303543964e-17,0.04465021
0.625,0.6950000000000001,1.0,2.655715303543964e-17,0.04465023
0.925,0.985,8.596937051130739e-10,2.5630651379060503e-08,0.04464929
0.525,0.5650000000000001,3.517694494803436e-06,3.458576740972275e-13,0.04465023
0.435,0.525,1.239865821773753e-13,3.517694494803436e-06,0.06566233
0.245,0.295,6.560782472853077e-10,2.462292002236577e-11,0.2726676
0.665,0.715,1.0615739398645019e-09,1.2646334717272834e-13,0.04465023
0.665,0.735,1.0615739398645019e-09,1.2883871935967972e-15,0.04465023
0.8250000000000001,0.895,1.8432338623744744e-21,5.298241376294754e-05,0.04466816
0.715,0.795,1.2646334717272834e-13,5.020752693804531e-13,0.04465023
0.735,0.795,1.2883871935967972e-15,5.020752693804531e-13,0.04465023
0.005,0.07500000000000001,1.1892569133234163e-22,2.4497856521144e-10,0.04465023
0.865,0.925,1.0746207983136203e-23,8.596937051130739e-10,0.044809327
0.045,0.115,1.3322055983114641e-35,1.0,0.04465023
0.045,0.125,1.3322055983114641e-35,1.0,0.044649825
0.665,0.755,1.0615739398645019e-09,7.61551141572403e-27,0.04465023
0.795,0.865,5.020752693804531e-13,1.0746207983136203e-23,0.04465035
0.715,0.775,1.2646334717272834e-13,3.784335367439816e-25,0.04465023
0.5650000000000001,0.645,3.458576740972275e-13,1.7441260094969696e-26,0.04465043
0.755,0.795,7.61551141572403e-27,5.020752693804531e-13,0.04465023
0.645,0.715,1.7441260094969696e-26,1.2646334717272834e-13,0.04465023
0.715,0.755,1.2646334717272834e-13,7.61551141572403e-27,0.04465023
0.735,0.775,1.2883871935967972e-15,3.784335367439816e-25,0.04465023
0.645,0.735,1.7441260094969696e-26,1.2883871935967972e-15,0.04465023
0.6950000000000001,0.775,2.655715303543964e-17,3.784335367439816e-25,0.04465023
0.645,0.6950000000000001,1.7441260094969696e-26,2.655715303543964e-17,0.04465023
0.6950000000000001,0.755,2.655715303543964e-17,7.61551141572403e-27,0.04465023
0.775,0.8250000000000001,3.784335367439816e-25,1.8432338623744744e-21,0.044650257
0.755,0.8250000000000001,7.61551141572403e-27,1.8432338623744744e-21,0.044650238
0.775,0.865,3.784335367439816e-25,1.0746207983136203e-23,0.04464966
0.005,0.045,1.1892569133234163e-22,1.3322055983114641e-35,0.04465023
0.925,0.995,8.596937051130739e-10,0.0,0.04464864
