xmin,xmax,xmin_score,xmax_score,iou_score
0.28500000000000003,0.34500000000000003,1.0,1.0,0.8089414
0.795,0.8350000000000001,1.0,0.0036579486913979045,0.7330764
0.795,0.855,1.0,0.0003304589190520346,0.70275897
0.925,0.975,1.0,0.00028889175155200064,0.044649415
0.34500000000000003,0.405,1.0,1.1807003985619957e-10,0.042203583
0.475,0.535,3.370529495696356e-13,1.0,0.04465023
0.855,0.905,0.0003304589190520346,8.935799322706828e-10,0.044245243
0.495,0.535,2.820981812669965e-18,1.0,0.04465023
0.495,0.545,2.820981812669965e-18,1.0,0.04465023
0.245,0.28500000000000003,5.044042426808145e-19,1.0,0.047109526
0.745,0.795,1.5058317695872385e-19,1.0,0.04779514
0.065,0.125,2.943558174983707e-10,3.292041639291199e-10,0.04465023
0.065,0.105,2.943558174983707e-10,2.835967918835003e-11,0.04465023
0.635,0.675,2.7892218049108127e-11,1.1024581941798671e-10,0.04465019
0.125,0.185,3.292041639291199e-10,8.391319594475838e-14,0.04465023
0.385,0.445,5.182618657145752e-13,1.1990235871230448e-14,0.044648387
0.015,0.065,8.533262407521802e-20,2.943558174983707e-10,0.04465023
0.305,0.34500000000000003,8.456345904836647e-32,1.0,0.58724535
0.185,0.245,8.391319594475838e-14,5.044042426808145e-19,0.04465023
0.545,0.595,1.0,3.8268421363795087e-32,0.04465023
0.535,0.595,1.0,3.8268421363795087e-32,0.04465023
0.445,0.495,1.1990235871230448e-14,2.820981812669965e-18,0.04465018
0.7050000000000001,0.765,1.6331327956642388e-10,1.2225608536934195e-24,0.04466735
0.595,0.635,3.8268421363795087e-32,2.7892218049108127e-11,0.04465023
0.245,0.305,5.044042426808145e-19,8.456345904836647e-32,0.21153384
0.935,0.995,1.0,0.0,0.0446534
