xmin,xmax,xmin_score,xmax_score,iou_score
0.745,0.785,1.0,1.0,0.786252
0.155,0.195,1.0,0.9985081553459167,0.7862379
0.785,0.8250000000000001,1.0,1.480027322031674e-06,0.042734902
0.895,0.935,9.137423148786183e-06,7.307334470851856e-08,0.044685755
0.915,0.955,1.9640824522326747e-09,7.730239303782582e-06,0.044691782
0.295,0.335,6.281917012529448e-05,8.971109445587988e-12,0.044650145
0.655,0.6950000000000001,7.015198968604587e-13,6.74183931202504e-15,0.04465023
0.495,0.535,3.292984916865305e-13,4.446640275838932e-16,0.04485994
