xmin,xmax,xmin_score,xmax_score,iou_score
0.295,0.375,1.0,1.0,0.04581617
0.655,0.6950000000000001,1.0,1.0,0.7862675
0.305,0.375,1.0,1.0,0.04551023
0.645,0.6950000000000001,1.0,1.0,0.7442937
0.385,0.485,0.9999964237213136,1.0,0.80620724
0.295,0.385,1.0,0.9999964237213136,0.049562473
0.305,0.385,1.0,0.9999964237213136,0.04944875
0.495,0.5750000000000001,1.0,0.9999737739562988,0.105134964
0.485,0.5750000000000001,1.0,0.9999737739562988,0.09239658
0.5750000000000001,0.645,0.9999737739562988,1.0,0.093220375
0.5750000000000001,0.655,0.9999737739562988,1.0,0.08635678
0.655,0.725,1.0,0.9701340794563292,0.45181307
0.645,0.725,1.0,0.9701340794563292,0.43148163
0.295,0.35500000000000004,1.0,5.22510708833579e-05,0.045519933
0.305,0.35500000000000004,1.0,5.22510708833579e-05,0.04570114
0.375,0.465,1.0,1.1703512114991099e-07,0.7158678
0.385,0.465,0.9999964237213136,1.1703512114991099e-07,0.70401955
0.6950000000000001,0.775,1.0,4.689884391950727e-08,0.041725338
0.725,0.775,0.9701340794563292,4.689884391950727e-08,0.04465023
0.485,0.535,1.0,1.4342341758677435e-09,0.16693914
0.495,0.535,1.0,1.4342341758677435e-09,0.24157009
0.535,0.5750000000000001,1.4342341758677435e-09,0.9999737739562988,0.0536472
0.555,0.645,2.1031743013821827e-10,1.0,0.08867796
0.495,0.555,1.0,2.1031743013821827e-10,0.13514806
0.485,0.555,1.0,2.1031743013821827e-10,0.091184415
0.555,0.655,2.1031743013821827e-10,1.0,0.091433644
0.725,0.805,0.9701340794563292,4.079231744058553e-11,0.04465023
0.245,0.295,2.095245499452933e-13,1.0,0.04465023
0.245,0.305,2.095245499452933e-13,1.0,0.04465023
0.215,0.305,4.3667648571546133e-14,1.0,0.04465023
0.215,0.295,4.3667648571546133e-14,1.0,0.04465023
0.885,0.955,2.118200892464728e-10,8.105539018288255e-05,0.044650808
0.885,0.985,2.118200892464728e-10,3.5305882192915305e-05,0.044650555
0.865,0.955,1.905977285721061e-11,8.105539018288255e-05,0.044650614
0.915,0.955,2.1129933740204887e-12,8.105539018288255e-05,0.044651233
0.465,0.535,1.1703512114991099e-07,1.4342341758677435e-09,0.2201381
0.015,0.055,2.7013526970876e-09,2.761898976189059e-08,0.04465029
0.915,0.985,2.1129933740204887e-12,3.5305882192915305e-05,0.04465078
0.465,0.555,1.1703512114991099e-07,2.1031743013821827e-10,0.120046094
0.055,0.14500000000000002,2.761898976189059e-08,7.719171135622815e-11,0.04465023
0.775,0.845,4.689884391950727e-08,2.3093138512564337e-11,0.04465023
0.775,0.865,4.689884391950727e-08,1.905977285721061e-11,0.04465021
0.015,0.07500000000000001,2.7013526970876e-09,1.6824561188677478e-10,0.044650257
0.625,0.6950000000000001,6.805360302315808e-20,1.0,0.52639127
0.5750000000000001,0.625,0.9999737739562988,6.805360302315808e-20,0.1480051
0.625,0.725,6.805360302315808e-20,0.9701340794563292,0.26953366
0.07500000000000001,0.14500000000000002,1.6824561188677478e-10,7.719171135622815e-11,0.04465023
0.805,0.885,4.079231744058553e-11,2.118200892464728e-10,0.044650268
0.845,0.885,2.3093138512564337e-11,2.118200892464728e-10,0.04465032
0.425,0.495,4.1680528428328175e-21,1.0,0.5133341
0.425,0.485,4.1680528428328175e-21,1.0,0.61775696
0.375,0.425,1.0,4.1680528428328175e-21,0.57791775
0.805,0.865,4.079231744058553e-11,1.905977285721061e-11,0.04465021
0.035,0.07500000000000001,3.5654062167933546e-12,1.6824561188677478e-10,0.04465023
0.055,0.115,2.761898976189059e-08,1.7188658333580804e-14,0.04465023
0.845,0.915,2.3093138512564337e-11,2.1129933740204887e-12,0.044650257
0.865,0.915,1.905977285721061e-11,2.1129933740204887e-12,0.044650268
0.14500000000000002,0.245,7.719171135622815e-11,2.095245499452933e-13,0.04465023
0.14500000000000002,0.215,7.719171135622815e-11,4.3667648571546133e-14,0.04465023
0.35500000000000004,0.425,5.22510708833579e-05,4.1680528428328175e-21,0.41777426
0.055,0.095,2.761898976189059e-08,3.2308917856060775e-18,0.04465023
0.035,0.115,3.5654062167933546e-12,1.7188658333580804e-14,0.04465023
0.015,0.095,2.7013526970876e-09,3.2308917856060775e-18,0.044650238
0.775,0.8250000000000001,4.689884391950727e-08,1.4073258354303677e-20,0.04465023
0.425,0.465,4.1680528428328175e-21,1.1703512114991099e-07,0.49402013
0.095,0.14500000000000002,3.2308917856060775e-18,7.719171135622815e-11,0.04465023
0.535,0.625,1.4342341758677435e-09,6.805360302315808e-20,0.0836708
0.915,0.995,2.1129933740204887e-12,2.472294289282985e-17,0.044650692
0.555,0.625,2.1031743013821827e-10,6.805360302315808e-20,0.112755224
0.035,0.095,3.5654062167933546e-12,3.2308917856060775e-18,0.04465023
0.8250000000000001,0.885,1.4073258354303677e-20,2.118200892464728e-10,0.044650268
0.17500000000000002,0.245,6.940120612755645e-18,2.095245499452933e-13,0.04465023
0.115,0.17500000000000002,1.7188658333580804e-14,6.940120612755645e-18,0.04465023
0.8250000000000001,0.915,1.4073258354303677e-20,2.1129933740204887e-12,0.044650257
0.095,0.17500000000000002,3.2308917856060775e-18,6.940120612755645e-18,0.04465023
0.005,0.055,1.148761073763937e-36,2.761898976189059e-08,0.044650268
0.005,0.07500000000000001,1.148761073763937e-36,1.6824561188677478e-10,0.044650268
0.005,0.095,1.148761073763937e-36,3.2308917856060775e-18,0.044650257
